manuscript-plate-fragment,identifier
11Q5-977-3,702e049df3a3ef8c3a50893334fd24e2e015208860f2c17c706807bdc01e472e
11Q5-977-4,a6efad74adca73ff74ae25bbeecd0aa4dfe66fa4eb294ead29ad5d6f7b13572d
11Q6-606-1,1afe7296dbd8fc53febaee6019aff6712ef65081b77b1a5d862ff80df578e7a0
11Q6-576-2,b0699ecf066d2e1bcf882ff74b1b64c5b96b61c48de49b90fd06cb8e9c3a9632
11Q6-576-3,2baab16f60123b3fa9fe57de066eab2afe877753498ac7aa20dc62361c3feee0
11Q6-576-4,20b14247d35f4fe684c874fddb96275dffebaedd34aa55d6225d1941010e2c5d
11Q6-613-7,b947354be4e17c76f6bf47d5c4bf49a7659d00d838572eb8e8cb96acba5ef042
11Q7-606-1-1,1858e4bdf7bf2c5b31a581a59244dd6981d3e8ded32f13b27a0ba91752d9f2f9
11Q7-606-1-2,6cfbb1d749965f728dbfefcd89ea5b26c14df35def093e2b99796d97f57f8816
11Q7-606-1-3,6bda60054aed317b800dc4d70e12142fb7fbc702063becc23368b528edaeaeca
11Q7-606-1-4,2afc6ea063655c74d86465b14311ff8f6b550b86ebe99d2a3df299e73b20b00b
11Q7-1027-1,3ba85bf784471cfba31d3e46d59c77b9190df253e99c8acadca07aab49baed8a
11Q7-614-4,e988fceb281603b60372066ee8ec59d7a99c2b0e553a5b668fa972331dc440fa
11Q7-614-16,34a0463f89cf4c5c69db057900776bc271061c7419728ab275311fea51377b64
1Q28b-1000-1000-1,ac145e625e3aa6a97cd5d89d6a50dfb45d48e7b5d3abcc08af6aef24bc068bab
1Q28b-1000-1000-2,53689d3c8573bb68049696fdbc12ec0186fda237993e62aaa116198c97df8b7f
1Q28b-1000-1000-3,dd49615a99fc4c8d58b611153c058b84c13ace294a9344a60ec6bc9632bf881c
1Q28b-1000-1000-4,e0f601582ec5644b4d4c7125ef66e4b9500a2f354fee0a6d15e3be3244efdf1
1Q28b-1000-1000-5,8c7748e5a304100979d842975771e36e61103c7a9860d902c597301711b1f2a7
1Q28b-1000-1000-6,2997c373d76fd474533e0ee04dd4887d4336bddcefe3af9f424215a3a5118bdc
1Q28b-1000-1000-7,3d0307a62ce2d3340c2eb27eb25fbb00862787873a7db5fab236aad0c707da3
1Q28b-664-664-1,8000cda95f2f98aa01059e6ee2ab6229c4964ef4901a5e9d42e6edbfb13db84
1Q28b-664-664-2,9b654273155841ee1ca7370090b548af9aa0eebfb4703605297d00d491923b44
1Q29-663-2,ff2f90dec2c931a445fd86fa63b9093ac5bf7ff91e567e3f4b272c2759a6ae35
1Q29-663-3,4a10d99903cbf552a6a8354e8c5b5410fb6f4792a76afa13fb837b4023501629
1Q29-663-4,739f9f89f31b8e5934e137ecdbfa1d80e0969a4b15e082a6cf2e31d3c25fbf2d
1Q29-663-5,11cb6349e8a9480d2f704fa2213896cb7f6fd43e70393af50752e2a796995481
1Q29-663-6,ad0c26ec34ad054e59047ba5e936017eeda2c19cf0e36c905e0caba8fb14fab3
1Q29-663-7,c83a174eb2ad6e9452a3a355958a4831ee2d08b148b2ff4ede6eb4d55516d5fa
1Q29-663-8,9e2aff5aee683d72fb8638ada43e6d03d8749c478d7c0e00641e3881c8d0b24a
1Q29-663-9,1543b809621cf915c72e28ac32908a04e272cd57d6d2e99fde169c9fe54f3fa3
1Q29-663-10,37d7642c2bf581a7223574474d52c5a2a2f4bc28e56b23cc33bd578651a39547
1Q29-663-11,fe4076261c7317f1d2af88b47ca3133f0a2fd5de053fa01f735d0bf712568760
1Q29-663-12,27dc2472c6c3e057832b180f66da5d550e78f7ed44ddb7ed9ba67aca77cb8b60
1Q29-663-13,c88b24fd1f2bb1f5407556a9960216e35baf61511dd654c1bee66c4da87aa7be
1Q29-663-14,f4ef1c27bd8f1ef0477d539f6fa2aa304d62b35f48034c68998154c27679175f
1Q29-663-15,f697a7ea873b3992a8951fe256b0ec842caeab5c21db09168199d355b92aeffc
1Q29-663-16,6f37e6911e0b6d43aae381bd8a856f955540b446e743ea624f311c8ed4cf3967
1Q29-663-17,1629ab4be6347f0dec7648ce2893dd1d719f304221b648887442a2e634eaef2
